Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,X-DFBnB,97,51,174,91,194,124,1168,660,-,-
6x6,BiX-DFBnB,107,52,151,86,252,143,1844,1077,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,X-DFBnB,84,64,162,114,340,235,7532,4520,-,-
6x7,BiX-DFBnB,123,79,198,130,457,328,8157,5124,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,X-DFBnB,129,93,978,666,1216,860,35500,22108,-,-
6x8,BiX-DFBnB,136,96,1593,1032,1105,855,36127,24389,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,154,106,1058,734,1661,1230,26056,17623,-,-
7x7,BiX-DFBnB,167,133,1432,1002,2694,1973,26013,18732,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,292,255,1185,996,16928,13019,75606,56350,-,-
7x8,BiX-DFBnB,372,303,2578,2013,20448,15882,90906,70467,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,2364,1992,6525,5524,47121,41467,-,-,-,-
8x8,BiX-DFBnB,5102,3972,8508,7235,78490,71793,-,-,-,-
