Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,X-DFBnB,97,60,174,96,194,130,1168,700,-,-
6x6,BiX-DFBnB,106,56,149,94,250,151,1842,1093,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,X-DFBnB,84,67,162,121,340,246,7532,4811,-,-
6x7,BiX-DFBnB,121,82,196,134,454,336,8155,5296,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,X-DFBnB,129,100,978,701,1216,899,35500,21848,-,-
6x8,BiX-DFBnB,133,100,1591,1061,1103,877,36126,23311,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,154,117,1058,771,1661,1257,26056,18045,-,-
7x7,BiX-DFBnB,165,144,1430,1030,2692,1991,26012,18817,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,292,275,1185,1109,16928,14340,75606,55715,-,-
7x8,BiX-DFBnB,370,329,2576,2156,20446,16816,90905,65102,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,2364,2096,6525,5976,47121,41567,-,-,-,-
8x8,BiX-DFBnB,5100,4147,8506,7530,78488,68809,-,-,-,-
